Time,Photons Emitted,Dark Molecule,Active Molecule,Triplet Molecule,Bleached Molecule
402.5,152,1,0,74,25
403.0,109,1,0,74,25
403.5,146,1,0,74,25
404.0,148,1,0,74,25
404.5,128,1,0,74,25
405.0,167,1,0,74,25
405.5,127,1,0,74,25
406.0,151,1,0,74,25
406.5,153,1,0,74,25
407.0,152,1,0,74,25
407.5,126,1,0,74,25
408.0,168,1,0,74,25
408.5,171,1,0,74,25
409.0,167,1,0,74,25
409.5,130,1,0,74,25
410.0,153,1,0,74,25
410.5,136,1,0,74,25
411.0,133,1,0,74,25
411.5,166,1,0,74,25
412.0,146,1,0,74,25
412.5,147,1,0,74,25
413.0,151,1,0,74,25
413.5,150,1,0,74,25
414.0,132,1,0,74,25
414.5,141,1,0,74,25
415.0,146,1,0,74,25
415.5,140,1,0,74,25
416.0,141,1,0,74,25
416.5,120,1,0,74,25
417.0,159,1,0,74,25
417.5,157,1,0,74,25
418.0,165,1,0,74,25
418.5,158,1,0,74,25
419.0,171,1,0,74,25
419.5,151,1,0,74,25
420.0,156,1,0,74,25
420.5,142,1,0,74,25
421.0,141,1,0,74,25
421.5,168,1,0,74,25
422.0,180,1,0,74,25
422.5,158,1,0,74,25
423.0,131,1,0,74,25
423.5,125,1,0,74,25
424.0,164,1,0,74,25
424.5,147,1,0,74,25
425.0,142,1,0,74,25
425.5,129,1,0,74,25
426.0,113,1,0,74,25
426.5,150,1,0,74,25
427.0,158,1,0,74,25
427.5,136,1,0,74,25
428.0,145,1,0,74,25
428.5,144,1,0,74,25
429.0,127,1,0,74,25
429.5,148,1,0,74,25
430.0,128,1,0,74,25
430.5,117,1,0,74,25
431.0,145,1,0,74,25
431.5,152,1,0,74,25
432.0,152,1,0,74,25
432.5,122,1,0,74,25
433.0,141,1,0,74,25
433.5,163,1,0,74,25
434.0,170,1,0,74,25
434.5,157,1,0,74,25
435.0,137,1,0,74,25
435.5,198,1,0,74,25
436.0,178,1,0,74,25
436.5,152,1,0,74,25
437.0,184,1,0,74,25
437.5,158,1,0,74,25
438.0,164,1,0,74,25
438.5,148,1,0,74,25
439.0,160,1,0,74,25
439.5,138,1,0,74,25
440.0,139,1,0,74,25
440.5,140,1,0,74,25
441.0,161,1,0,74,25
441.5,146,1,0,74,25
442.0,154,1,0,74,25
442.5,167,1,0,74,25
443.0,155,1,0,74,25
443.5,128,1,0,74,25
444.0,143,1,0,74,25
444.5,172,1,0,74,25
445.0,152,1,0,74,25
445.5,112,1,0,74,25
446.0,153,1,0,74,25
446.5,155,1,0,74,25
447.0,124,1,0,74,25
447.5,185,1,0,74,25
448.0,149,1,0,74,25
448.5,129,1,0,74,25
449.0,183,1,0,73,26
449.5,118,1,0,73,26
450.0,148,1,0,73,26
450.5,177,1,0,73,26
451.0,155,1,0,73,26
451.5,125,1,0,73,26
452.0,165,1,0,73,26
452.5,152,1,0,73,26
453.0,151,1,0,73,26
453.5,156,1,0,73,26
454.0,128,1,0,73,26
454.5,145,1,0,73,26
455.0,164,1,0,73,26
455.5,135,1,0,73,26
456.0,144,1,0,73,26
456.5,158,1,0,73,26
457.0,154,1,0,73,26
457.5,114,1,0,73,26
458.0,155,1,0,73,26
458.5,134,1,0,73,26
459.0,165,1,0,73,26
459.5,136,1,0,73,26
460.0,141,1,0,73,26
460.5,161,1,0,73,26
461.0,145,1,0,73,26
461.5,144,1,0,73,26
462.0,139,1,0,73,26
462.5,142,1,0,73,26
463.0,154,1,0,73,26
463.5,125,1,0,73,26
464.0,120,1,0,72,27
464.5,135,1,0,72,27
465.0,142,1,0,72,27
465.5,152,1,0,72,27
466.0,187,1,0,71,28
466.5,121,1,0,71,28
467.0,127,1,0,71,28
467.5,143,1,0,71,28
468.0,156,1,0,71,28
468.5,142,1,0,71,28
469.0,164,1,0,71,28
469.5,173,1,0,71,28
470.0,151,1,0,71,28
470.5,154,1,0,71,28
471.0,115,1,0,71,28
471.5,122,1,0,71,28
472.0,123,1,0,71,28
472.5,152,1,0,71,28
473.0,129,1,0,71,28
473.5,121,1,0,71,28
474.0,141,1,0,71,28
474.5,144,1,0,71,28
475.0,164,1,0,71,28
475.5,147,1,0,71,28
476.0,179,1,0,71,28
476.5,120,1,0,71,28
477.0,161,1,0,71,28
477.5,135,1,0,71,28
478.0,152,1,0,71,28
478.5,166,1,0,71,28
479.0,157,1,0,71,28
479.5,190,1,0,71,28
480.0,128,1,0,71,28
480.5,144,1,0,71,28
481.0,138,1,0,71,28
481.5,139,1,0,71,28
482.0,141,1,0,71,28
482.5,154,1,0,71,28
483.0,162,1,0,71,28
483.5,122,1,0,71,28
484.0,133,1,0,71,28
484.5,149,1,0,71,28
485.0,133,1,0,71,28
485.5,171,1,0,71,28
486.0,134,1,0,71,28
486.5,127,1,0,71,28
487.0,134,1,0,71,28
487.5,129,1,0,71,28
488.0,164,1,0,71,28
488.5,143,1,0,71,28
489.0,130,1,0,71,28
489.5,126,1,0,71,28
490.0,134,1,0,71,28
490.5,126,1,0,71,28
491.0,135,1,0,71,28
491.5,161,1,0,71,28
492.0,126,1,0,71,28
